Description,App,Parent company,Grouping,Classification,Year,Location,HQs: old city,HQs: old country,HQs: new city,HQs: new country,Source,
Shein moved its headquarters to Singapore,Shein,Shein,Shein,HQ,2021,Singapore,Nanjing,China,Singapore,Singapore,https://www.reuters.com/markets/us/exclusive-chinese-fashion-firm-shein-singapore-hiring-spree-it-shifts-key-assets-2022-02-16/,
Temu established in Boston,Temu,PDD Holdings,Temu,HQ,2022,USA,,,Boston,USA,"https://www.nbcchicago.com/consumer/bbb-using-temu-could-expose-consumers-to-identity-theft-other-issues/3227474/#:~:text=According%20to%20the%20Better%20Business,already%20amassed%20nearly%20900%20complaints.",
Temu owner PDD Holdings moved its HQ to Ireland,Temu,PDD Holdings,Temu,HQ,2023,Ireland,Shanghai,China,Dublin,Ireland,https://www.semafor.com/article/05/03/2023/pinduoduo-ireland-dublin-temu,
TikTok moved its HQ to LA and Singapore,TikTok,ByteDance,TikTok,HQ,2020,USA,Beijing,China,LA,USA,https://variety.com/2020/digital/news/tiktok-opens-new-l-a-office-in-culver-city-1203476106/,https://www.wsj.com/articles/tiktok-searches-for-global-headquarters-outside-of-china-11577097150
TikTok moved its HQ to LA and Singapore,TikTok,ByteDance,TikTok,HQ,2020,Singapore,Beijing,China,Singapore,Singapore,https://www.reuters.com/article/us-china-bytedance-singapore/tiktok-owner-bytedance-to-invest-billions-in-singapore-over-three-years-source-idUSKBN2620FO,https://www.wsj.com/articles/tiktok-searches-for-global-headquarters-outside-of-china-11577097150
"Shein launched marketplaces in US, Brazil, and Mexico",Shein,Shein,Shein,Local marketplace,2023,Brazil,,,,,https://cross-border-magazine.com/shein-brazil-marketplace/,
"Shein launched marketplaces in US, Brazil, and Mexico",Shein,Shein,Shein,Local marketplace,2023,Mexico,,,,,https://sheingroup.com/corporate-news/shein-launches-accelerashein-to-empower-marketplace-sellers-continues-global-roll-out-of-integrated-marketplace/,
"Shein launched marketplaces in US, Brazil, and Mexico",Shein,Shein,Shein,Local marketplace,2023,USA,,,,,https://www.marketplacepulse.com/articles/shein-marketplace-launches-in-the-us,
AliExpress launches marketplace in Brazil,AliExpress,Alibaba,Alibaba,Local marketplace,2021,Brazil,,,,,https://www.alizila.com/alibabas-marketplace-aliexpress-ramps-up-in-brazil-as-e-commerce-booms/,
AliExpress launches marketplace in Russia,AliExpress,Alibaba,Alibaba,Local marketplace,2015,Russia,,,,,https://www.ewdn.com/2015/10/26/russian-online-retailers-allowed-to-sell-goods-through-aliexpress/,
TikTok Shop launches marketplace in the US,TikTok,ByteDance,TikTok,Local marketplace,2023,USA,,,,,https://www.cnn.com/2023/09/12/tech/tiktok-shop-us/index.html,
TikTok Shop launches marketplace in the UK,TikTok,ByteDance,TikTok,Local marketplace,2021,UK,,,,,https://www.ft.com/content/07b75caf-b2ab-4ace-9bb8-68d42f1da823,
TikTok Shop launches marketplace in Vietnam,TikTok,ByteDance,TikTok,Local marketplace,2022,Vietnam,,,,,https://www.techinasia.com/tiktok-shop-enters-thailand-vietnam-malaysia,
TikTok Shop launches marketplace in Malaysia,TikTok,ByteDance,TikTok,Local marketplace,2022,Malaysia,,,,,https://www.techinasia.com/tiktok-shop-enters-thailand-vietnam-malaysia,
TikTok Shop launches marketplace in the Philippines,TikTok,ByteDance,TikTok,Local marketplace,2022,Philippines,,,,,https://marketech-apac.com/tiktok-launches-online-marketplace-tiktok-shop-in-ph/,
TikTok Shop launches marketplace in Singapore,TikTok,ByteDance,TikTok,Local marketplace,2022,Singapore,,,,,https://newsroom.tiktok.com/en-sg/tiktok-shop-in-singapore,
TikTok Shop launches marketplace in Thailand,TikTok,ByteDance,TikTok,Local marketplace,2022,Thailand,,,,,https://www.techinasia.com/tiktok-shop-enters-thailand-vietnam-malaysia,
TikTok Shop launches marketplace in Indonesia,TikTok,ByteDance,TikTok,Local marketplace,2021,Indonesia,,,,,https://www.techinasia.com/heres-expect-shop-tiktoks-ecommerce-portal,
Shein begun manufacturing in Turkey,Shein,Shein,Shein,Local manufacturing,2022,Turkey,,,,,https://www.wsj.com/articles/fast-fashion-giant-shein-explores-becoming-online-marketplace-11670827480,
Shein begun manufacturing in Brazil,Shein,Shein,Shein,Local manufacturing,2023,Brazil,,,,,https://www.bloomberg.com/news/articles/2023-05-23/shein-adds-100-factories-in-brazil-as-billionaire-grows-fast-fashion-empire,
Alibaba acquires Lazada,Lazada,Alibaba,Alibaba,Business Tie-ups,2016,Singapore,,,,,https://www.reuters.com/article/us-lazada-m-a-alibaba/alibaba-buys-control-of-lazada-in-1-billion-bet-on-se-asia-ecommerce-idUSKCN0X90HT,
Alibaba acquires Daraz,Daraz,Alibaba,Alibaba,Business Tie-ups,2018,Pakistan,,,,,https://techcrunch.com/2018/05/08/alibaba-buys-rocket-internets-daraz/,
Albaba acquires Trendyol,Trendyol,Alibaba,Alibaba,Business Tie-ups,2018,Turkey,,,,,https://www.crunchbase.com/acquisition/alibaba-acquires-trendyol--e7f9e618,
Alibaba launches Maravia in Spain,Maravia,Alibaba,Alibaba,Business Tie-ups,2022,Spain,,,,,https://data.alibabagroup.com/ecms-files/1479231421/aa56f379-6717-4afc-9005-b8a695c7fd95/Alibaba%20Group%20Holding%20Limited%20Fiscal%20Year%202023%20Annual%20Report.pdf,
AliExpress becomes Russian JV,AliExpress,Alibaba,Alibaba,Business Tie-ups,2019,Russia,,,,,https://www.ewdn.com/2019/10/09/alibaba-and-mail-ru-complete-jv-deal-to-dominate-russian-e-commerce/,
AliExpress buys minority stake in Russia's KazanExpress,AliExpress,Alibaba,Alibaba,Business Tie-ups,2021,Russia,,,,,https://www.ewdn.com/2021/03/19/aliexpress-russia-invests-in-regional-marketplace-kazanexpress/,
Shein signs licensing deal with Reliance in India,Shein,Shein,Shein,Business Tie-ups,2023,India,,,,,https://www.cnn.com/2023/05/26/business/shein-reliance-india-return-intl-hnk/index.html,
Shein partners with Forever21's parent company,Shein,Shein,Shein,Business Tie-ups,2023,USA,,,,,https://www.cnn.com/2023/08/25/business/shein-forever-21-deal/index.html,
Shein acquires UK fashion brand Missguided,Shein,Shein,Shein,Business Tie-ups,2023,UK,,,,,https://techcrunch.com/2023/10/30/shein-adds-struggling-uk-brand-missguided-to-its-fashion-empire/,														
