month_date,gmv_USD,SOVEREIGNT
2022-10-01,111651161.1,Vietnam
2022-10-01,130512391.9,Thailand
2022-10-01,59455601.52,Philippines
2022-10-01,55739791.86,Malaysia
2022-10-01,227399686.8,Indonesia
2022-11-01,164019194.0,Thailand
2022-11-01,124851664.4,Vietnam
2022-11-01,69474879.53,Malaysia
2022-11-01,76644121.43,Philippines
2022-11-01,281075211.0,Indonesia
2022-12-01,325351625.6,Indonesia
2022-12-01,80702257.72,Philippines
2022-12-01,186693044.4,Thailand
2022-12-01,137455967.1,Vietnam
2022-12-01,78031393.73,Malaysia
2023-01-01,82798893.97,Malaysia
2023-01-01,197184606.2,Thailand
2023-01-01,60874086.68,Philippines
2023-01-01,103804956.6,Vietnam
2023-01-01,301861656.5,Indonesia
2023-02-01,43172305.97,Philippines
2023-02-01,91032223.71,Vietnam
2023-02-01,61857299.67,Malaysia
2023-02-01,95696249.79,Thailand
2023-02-01,317904510.7,Indonesia
2023-03-01,333262581.9,Indonesia
2023-03-01,119063661.0,Vietnam
2023-03-01,125018036.0,Malaysia
2023-03-01,101821419.6,Philippines
2023-03-01,181893627.9,Thailand
2023-04-01,392147013.7,Indonesia
2023-04-01,170615930.7,Thailand
2023-04-01,105252661.2,Malaysia
2023-04-01,123206989.9,Vietnam
2023-04-01,110412995.1,Philippines
2023-05-01,114638019.0,Vietnam
2023-05-01,75753381.78,Malaysia
2023-05-01,261303307.6,Indonesia
2023-05-01,170052879.8,Thailand
2023-05-01,63631317.31,Philippines
2023-06-01,128863039.1,Vietnam
2023-06-01,328773827.7,Indonesia
2023-06-01,67253218.63,Malaysia
2023-06-01,147363550.5,Thailand
2023-06-01,106629769.1,Philippines
2023-07-01,326275055.0,Indonesia
2023-07-01,78854875.57,Malaysia
2023-07-01,140896356.1,Vietnam
2023-07-01,290226079.3,Thailand
2023-07-01,126564555.1,Philippines
2023-08-01,216210170.7,Thailand
2023-08-01,403470459.9,Indonesia
2023-08-01,105512316.2,Malaysia
2023-08-01,150829817.6,Philippines
2023-08-01,141570656.6,Vietnam
2023-09-01,146264071.0,Philippines
2023-09-01,192554903.1,Vietnam
2023-09-01,135419403.3,Malaysia
2023-09-01,485157945.5,Indonesia
2023-09-01,309591428.6,Thailand
